ID,label-0,label-1
0.nii.gz,0.6,0.4
1.nii.gz,0.4,0.6
2.nii.gz,0.6,0.4
3.nii.gz,0.4,0.6
4.nii.gz,1.0,0.0
5.nii.gz,0.6,0.4
6.nii.gz,1.0,0.0
7.nii.gz,0.2,0.8
8.nii.gz,0.6,0.4
9.nii.gz,1.0,0.0
10.nii.gz,0.2,0.8
11.nii.gz,0.2,0.8
12.nii.gz,1.0,0.0
13.nii.gz,0.8,0.2
14.nii.gz,1.0,0.0
15.nii.gz,0.4,0.6
16.nii.gz,0.6,0.4
17.nii.gz,0.8,0.2
18.nii.gz,0.4,0.6
19.nii.gz,0.6,0.4
20.nii.gz,0.4,0.6
21.nii.gz,0.6,0.4
22.nii.gz,0.2,0.8
23.nii.gz,0.0,1.0
24.nii.gz,0.4,0.6
25.nii.gz,0.6,0.4
26.nii.gz,1.0,0.0
27.nii.gz,0.4,0.6
28.nii.gz,0.2,0.8
29.nii.gz,0.8,0.2
30.nii.gz,0.4,0.6
31.nii.gz,0.8,0.2
32.nii.gz,0.8,0.2
33.nii.gz,0.8,0.2
34.nii.gz,0.4,0.6
35.nii.gz,0.6,0.4
36.nii.gz,0.8,0.2
37.nii.gz,1.0,0.0
38.nii.gz,0.2,0.8
39.nii.gz,0.4,0.6
40.nii.gz,0.4,0.6
41.nii.gz,0.8,0.2
42.nii.gz,0.6,0.4
43.nii.gz,0.8,0.2
44.nii.gz,0.4,0.6
45.nii.gz,0.4,0.6
46.nii.gz,0.8,0.2
47.nii.gz,0.8,0.2
48.nii.gz,0.8,0.2
49.nii.gz,0.6,0.4
50.nii.gz,0.4,0.6
51.nii.gz,0.4,0.6
52.nii.gz,0.8,0.2
53.nii.gz,0.2,0.8
54.nii.gz,0.8,0.2
55.nii.gz,0.6,0.4
56.nii.gz,0.6,0.4
57.nii.gz,0.4,0.6
58.nii.gz,0.6,0.4
59.nii.gz,0.2,0.8
60.nii.gz,0.2,0.8
61.nii.gz,1.0,0.0
62.nii.gz,0.8,0.2
63.nii.gz,0.8,0.2
64.nii.gz,0.4,0.6
65.nii.gz,0.6,0.4
66.nii.gz,0.8,0.2
67.nii.gz,0.4,0.6
68.nii.gz,0.8,0.2
69.nii.gz,0.6,0.4
70.nii.gz,0.0,1.0
71.nii.gz,1.0,0.0
72.nii.gz,0.4,0.6
73.nii.gz,1.0,0.0
74.nii.gz,0.8,0.2
75.nii.gz,0.8,0.2
76.nii.gz,0.2,0.8
77.nii.gz,1.0,0.0
78.nii.gz,0.8,0.2
79.nii.gz,0.8,0.2
80.nii.gz,0.8,0.2
81.nii.gz,1.0,0.0
82.nii.gz,0.8,0.2
83.nii.gz,0.8,0.2
84.nii.gz,1.0,0.0
85.nii.gz,0.8,0.2
86.nii.gz,0.2,0.8
87.nii.gz,0.6,0.4
88.nii.gz,0.8,0.2
89.nii.gz,0.2,0.8
90.nii.gz,0.2,0.8
91.nii.gz,1.0,0.0
