ID,label-0,label-1
0.nii.gz,1.0,0.0
1.nii.gz,0.6,0.4
10.nii.gz,0.2,0.8
100.nii.gz,1.0,0.0
101.nii.gz,0.8,0.2
102.nii.gz,0.8,0.2
103.nii.gz,0.6,0.4
104.nii.gz,1.0,0.0
105.nii.gz,0.8,0.2
106.nii.gz,0.4,0.6
107.nii.gz,1.0,0.0
108.nii.gz,0.4,0.6
109.nii.gz,0.6,0.4
11.nii.gz,0.6,0.4
110.nii.gz,0.8,0.2
111.nii.gz,0.8,0.2
112.nii.gz,0.2,0.8
113.nii.gz,0.4,0.6
114.nii.gz,0.8,0.2
115.nii.gz,0.8,0.2
116.nii.gz,0.4,0.6
117.nii.gz,0.6,0.4
118.nii.gz,0.6,0.4
119.nii.gz,0.6,0.4
12.nii.gz,1.0,0.0
120.nii.gz,0.2,0.8
121.nii.gz,0.0,1.0
122.nii.gz,0.8,0.2
123.nii.gz,0.4,0.6
124.nii.gz,1.0,0.0
125.nii.gz,0.2,0.8
126.nii.gz,0.6,0.4
127.nii.gz,1.0,0.0
128.nii.gz,1.0,0.0
129.nii.gz,0.8,0.2
13.nii.gz,0.8,0.2
130.nii.gz,1.0,0.0
131.nii.gz,0.6,0.4
132.nii.gz,0.6,0.4
133.nii.gz,0.4,0.6
134.nii.gz,0.6,0.4
135.nii.gz,0.8,0.2
136.nii.gz,1.0,0.0
137.nii.gz,1.0,0.0
138.nii.gz,0.4,0.6
139.nii.gz,0.6,0.4
14.nii.gz,1.0,0.0
140.nii.gz,1.0,0.0
141.nii.gz,0.4,0.6
142.nii.gz,0.6,0.4
143.nii.gz,1.0,0.0
144.nii.gz,0.8,0.2
145.nii.gz,1.0,0.0
146.nii.gz,0.8,0.2
147.nii.gz,0.6,0.4
148.nii.gz,0.2,0.8
149.nii.gz,0.4,0.6
15.nii.gz,1.0,0.0
150.nii.gz,0.6,0.4
151.nii.gz,0.6,0.4
152.nii.gz,0.8,0.2
153.nii.gz,0.8,0.2
154.nii.gz,1.0,0.0
155.nii.gz,1.0,0.0
156.nii.gz,0.4,0.6
157.nii.gz,0.4,0.6
158.nii.gz,0.4,0.6
159.nii.gz,1.0,0.0
16.nii.gz,0.4,0.6
160.nii.gz,0.4,0.6
161.nii.gz,0.8,0.2
162.nii.gz,1.0,0.0
163.nii.gz,0.0,1.0
164.nii.gz,0.6,0.4
165.nii.gz,1.0,0.0
166.nii.gz,0.2,0.8
167.nii.gz,1.0,0.0
168.nii.gz,1.0,0.0
169.nii.gz,0.8,0.2
17.nii.gz,0.6,0.4
170.nii.gz,1.0,0.0
171.nii.gz,0.4,0.6
172.nii.gz,0.8,0.2
173.nii.gz,0.6,0.4
174.nii.gz,0.8,0.2
175.nii.gz,0.8,0.2
176.nii.gz,0.6,0.4
177.nii.gz,0.6,0.4
178.nii.gz,0.0,1.0
179.nii.gz,1.0,0.0
18.nii.gz,0.2,0.8
180.nii.gz,0.6,0.4
181.nii.gz,0.8,0.2
182.nii.gz,0.8,0.2
183.nii.gz,0.2,0.8
184.nii.gz,1.0,0.0
185.nii.gz,1.0,0.0
186.nii.gz,0.4,0.6
187.nii.gz,0.6,0.4
19.nii.gz,0.0,1.0
2.nii.gz,0.8,0.2
20.nii.gz,0.6,0.4
21.nii.gz,0.4,0.6
22.nii.gz,0.6,0.4
23.nii.gz,0.6,0.4
24.nii.gz,0.8,0.2
25.nii.gz,0.6,0.4
26.nii.gz,1.0,0.0
27.nii.gz,0.6,0.4
28.nii.gz,0.8,0.2
29.nii.gz,0.6,0.4
3.nii.gz,0.8,0.2
30.nii.gz,0.8,0.2
31.nii.gz,0.6,0.4
32.nii.gz,1.0,0.0
33.nii.gz,1.0,0.0
34.nii.gz,0.6,0.4
35.nii.gz,1.0,0.0
36.nii.gz,1.0,0.0
37.nii.gz,0.6,0.4
38.nii.gz,0.6,0.4
39.nii.gz,1.0,0.0
4.nii.gz,1.0,0.0
40.nii.gz,0.4,0.6
41.nii.gz,0.4,0.6
42.nii.gz,0.6,0.4
43.nii.gz,0.4,0.6
44.nii.gz,1.0,0.0
45.nii.gz,0.6,0.4
46.nii.gz,0.8,0.2
47.nii.gz,1.0,0.0
48.nii.gz,0.4,0.6
49.nii.gz,1.0,0.0
5.nii.gz,0.8,0.2
50.nii.gz,0.0,1.0
51.nii.gz,0.8,0.2
52.nii.gz,0.8,0.2
53.nii.gz,0.6,0.4
54.nii.gz,1.0,0.0
55.nii.gz,0.8,0.2
56.nii.gz,0.8,0.2
57.nii.gz,0.0,1.0
58.nii.gz,1.0,0.0
59.nii.gz,1.0,0.0
6.nii.gz,0.4,0.6
60.nii.gz,0.4,0.6
61.nii.gz,0.6,0.4
62.nii.gz,0.6,0.4
63.nii.gz,0.6,0.4
64.nii.gz,0.0,1.0
65.nii.gz,0.6,0.4
66.nii.gz,1.0,0.0
67.nii.gz,1.0,0.0
68.nii.gz,0.6,0.4
69.nii.gz,0.8,0.2
7.nii.gz,0.8,0.2
70.nii.gz,0.2,0.8
71.nii.gz,0.4,0.6
72.nii.gz,1.0,0.0
73.nii.gz,1.0,0.0
74.nii.gz,1.0,0.0
75.nii.gz,1.0,0.0
76.nii.gz,0.8,0.2
77.nii.gz,0.8,0.2
78.nii.gz,0.8,0.2
79.nii.gz,1.0,0.0
8.nii.gz,0.4,0.6
80.nii.gz,1.0,0.0
81.nii.gz,0.6,0.4
82.nii.gz,0.8,0.2
83.nii.gz,0.8,0.2
84.nii.gz,1.0,0.0
85.nii.gz,1.0,0.0
86.nii.gz,0.4,0.6
87.nii.gz,1.0,0.0
88.nii.gz,1.0,0.0
89.nii.gz,0.6,0.4
9.nii.gz,1.0,0.0
90.nii.gz,1.0,0.0
91.nii.gz,0.6,0.4
92.nii.gz,0.0,1.0
93.nii.gz,0.4,0.6
94.nii.gz,0.8,0.2
95.nii.gz,0.6,0.4
96.nii.gz,0.6,0.4
97.nii.gz,0.8,0.2
98.nii.gz,0.6,0.4
99.nii.gz,0.8,0.2
